Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
11,00:11,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
11,00:11,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
12,00:12,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
12,00:12,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
14,00:14,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
14,00:14,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
15,00:15,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
15,00:15,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
16,00:16,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
16,00:16,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
17,00:17,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
17,00:17,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
18,00:18,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
18,00:18,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
19,00:19,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
19,00:19,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
20,00:20,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
20,00:20,JDG,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
21,00:21,STM,0,2500,0,0,0,0,500,0,0,0,500,0,0,0,540,0,0,0,500,0,0,0,500
21,00:21,JDG,0,2600,0,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500,0,0,0,500
22,00:22,STM,0,2600,0,0,0,0,503,0,0,0,503,0,0,0,543,0,0,0,503,0,0,0,503
22,00:22,JDG,0,2500,0,0,0,0,503,0,0,0,503,0,0,0,503,0,0,0,503,0,0,0,503
23,00:23,STM,0,2600,0,0,0,0,507,0,0,0,507,0,0,0,547,0,0,0,507,0,0,0,507
23,00:23,JDG,0,2600,0,0,0,0,507,0,0,0,507,0,0,0,572,0,0,0,507,0,0,0,507
25,00:25,STM,0,2700,0,0,0,0,510,0,0,0,510,0,0,0,615,0,0,0,510,0,0,0,510
