Time,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
367,06:07,STM,0,19900,1,0,2,0,3904,0,1,1,3774,0,0,0,4703,0,1,1,4075,1,1,0,3477
367,06:07,JDG,0,23000,5,2,0,2,5653,2,1,0,4640,0,0,0,4653,0,0,1,4362,1,0,2,3760
368,06:08,STM,0,19900,1,0,2,0,3908,0,1,1,3778,0,0,0,4707,0,1,1,4143,1,1,0,3483
368,06:08,JDG,0,23100,5,2,0,2,5657,2,1,0,4800,0,0,0,4656,0,0,1,4398,1,0,2,3830
369,06:09,STM,0,19900,1,0,2,0,3911,0,1,1,3781,0,0,0,4710,0,1,1,4252,1,1,0,3488
369,06:09,JDG,0,23300,5,2,0,2,5660,2,1,0,4803,0,0,0,4745,0,0,1,4506,1,0,2,3888
370,06:10,STM,0,20100,1,0,2,0,3915,0,1,1,3785,0,0,0,4714,0,1,1,4255,1,1,0,3494
370,06:10,JDG,0,23500,5,2,0,2,5664,2,1,0,4807,0,0,0,4748,0,0,1,4510,1,0,2,3894
371,06:11,STM,0,20200,1,0,2,0,3918,0,1,1,3788,0,0,0,4717,0,1,1,4259,1,1,0,3499
371,06:11,JDG,0,23600,5,2,0,2,5667,2,1,0,4810,0,0,0,4752,0,0,1,4598,1,0,2,3899
372,06:12,STM,0,20200,1,0,2,0,3922,0,1,1,3792,0,0,0,4721,0,1,1,4262,1,1,0,3505
372,06:12,JDG,0,23700,5,2,0,2,5671,2,1,0,4814,0,0,0,4755,0,0,1,4602,1,0,2,3905
373,06:13,STM,0,20200,1,0,2,0,3990,0,1,1,3795,0,0,0,4724,0,1,1,4266,1,1,0,3510
373,06:13,JDG,0,23700,5,2,0,2,5674,2,1,0,4817,0,0,0,4759,0,0,1,4605,1,0,2,3910
374,06:14,STM,0,20200,1,0,2,0,3994,0,1,1,3799,0,0,0,4728,0,1,1,4269,1,1,0,3516
374,06:14,JDG,0,23800,5,2,0,2,5678,2,1,0,4821,0,0,0,4762,0,0,1,4609,1,0,2,3916
375,06:15,STM,0,20200,1,0,2,0,3997,0,1,1,3802,0,0,0,4731,0,1,1,4273,1,1,0,3521
375,06:15,JDG,0,23800,5,2,0,2,5681,2,1,0,4824,0,0,0,4766,0,0,1,4612,1,0,2,3921
376,06:16,STM,0,20200,1,0,2,0,4041,0,1,1,3806,0,0,0,4735,0,1,1,4276,1,1,0,3527
376,06:16,JDG,0,23800,5,2,0,2,5685,2,1,0,4828,0,0,0,4769,0,0,1,4616,1,0,2,3927
377,06:17,STM,0,20400,1,0,2,0,4109,0,1,1,3809,0,0,0,4738,0,1,1,4365,1,1,0,3532
377,06:17,JDG,0,23800,5,2,0,2,5753,2,1,0,4987,0,0,0,4773,0,0,1,4619,1,0,2,3932
378,06:18,STM,0,20400,1,0,2,0,4198,0,1,1,3813,0,0,0,4742,0,1,1,4368,1,1,0,3538
378,06:18,JDG,0,24000,5,2,0,2,5757,2,1,0,4991,0,0,0,4776,0,0,1,4623,1,0,2,3938
379,06:19,STM,0,20700,1,0,2,0,4201,0,1,1,3816,0,0,0,4745,0,1,1,4372,1,1,0,3543
379,06:19,JDG,0,24100,5,2,0,2,5825,2,1,0,4994,0,0,0,4780,0,0,1,4626,1,0,2,3943
380,06:20,STM,0,20700,1,0,2,0,4205,0,1,1,3820,0,0,0,4749,0,1,1,4375,1,1,0,3549
380,06:20,JDG,0,24200,5,2,0,2,5829,2,1,0,4998,0,0,0,4783,0,0,1,4630,1,0,2,3949
381,06:21,STM,0,20700,1,0,2,0,4208,0,1,1,3823,0,0,0,4752,0,1,1,4379,1,1,0,3554
381,06:21,JDG,0,24200,5,2,0,2,5832,2,1,0,5001,0,0,0,4787,0,0,1,4633,1,0,2,3954
382,06:22,STM,0,20700,1,0,2,0,4212,0,1,1,3827,0,0,0,4756,0,1,1,4382,1,1,0,3560
382,06:22,JDG,0,24200,5,2,0,2,5836,2,1,0,5005,0,0,0,4790,0,0,1,4637,1,0,2,3960
383,06:23,STM,0,20700,1,0,2,0,4215,0,1,1,3830,0,0,0,4759,0,1,1,4386,1,1,0,3565
383,06:23,JDG,0,24200,5,2,0,2,5879,2,1,0,5008,0,0,0,4794,0,0,1,4640,1,0,2,3985
384,06:24,STM,0,20700,1,0,2,0,4219,0,1,1,3834,0,0,0,4763,0,1,1,4389,1,1,0,3571
384,06:24,JDG,0,24300,5,2,0,2,5883,2,1,0,5012,0,0,0,4797,0,0,1,4644,1,0,2,3991
385,06:25,STM,0,20700,1,0,2,0,4222,0,1,1,3837,0,0,0,4766,0,1,1,4393,1,1,0,3576
385,06:25,JDG,0,24300,5,2,0,2,5886,2,1,0,5015,0,0,0,4801,0,0,1,4647,1,0,2,3996
386,06:26,STM,0,20700,1,0,2,0,4226,0,1,1,3841,0,0,0,4770,0,1,1,4396,1,1,0,3582
386,06:26,JDG,0,24300,5,2,0,2,5890,2,1,0,5019,0,0,0,4804,0,0,1,4651,1,0,2,4002
387,06:27,STM,0,20700,1,0,2,0,4229,0,1,1,3844,0,0,0,4773,0,1,1,4400,1,1,0,3587
387,06:27,JDG,0,24400,5,2,0,2,5978,2,1,0,5022,0,0,0,4808,0,0,1,4654,1,0,2,4050
388,06:28,STM,0,20700,1,0,2,0,4233,0,1,1,3848,0,0,0,4777,0,1,1,4403,1,1,0,3593
388,06:28,JDG,0,24500,5,2,0,2,5982,2,1,0,5026,0,0,0,4811,0,0,1,4658,1,0,2,4055
389,06:29,STM,0,20700,1,0,2,0,4236,0,1,1,3851,0,0,0,4845,0,1,1,4407,1,1,0,3631
389,06:29,JDG,0,24500,5,2,0,2,5985,2,1,0,5029,0,0,0,4815,0,0,1,4661,1,0,2,4061
390,06:30,STM,0,21000,1,0,2,0,4240,0,1,1,3975,0,0,0,4862,0,1,1,4410,1,1,0,3649
390,06:30,JDG,0,24600,5,2,0,2,5989,2,1,0,5033,0,0,0,4818,0,0,1,4665,1,0,2,4066
391,06:31,STM,0,21000,1,0,2,0,4243,0,1,1,3978,0,0,0,4925,0,1,1,4414,1,1,0,3715
391,06:31,JDG,0,24600,5,2,0,2,5992,2,1,0,5168,0,0,0,4822,0,0,1,4668,1,0,2,4072
392,06:32,STM,0,21300,1,0,2,0,4247,0,1,1,3982,0,0,0,4929,0,1,1,4417,1,1,0,3720
392,06:32,JDG,0,24600,5,2,0,2,5996,2,1,0,5202,0,0,0,4825,0,0,1,4672,1,0,2,4077
393,06:33,STM,0,21300,1,0,2,0,4250,0,1,1,3985,0,0,0,4932,0,1,1,4421,1,1,0,3726
393,06:33,JDG,0,24600,5,2,0,2,5999,2,1,0,5205,0,0,0,4829,0,0,1,4675,1,0,2,4083
394,06:34,STM,0,21300,1,0,2,0,4254,0,1,1,3989,0,0,0,4936,0,1,1,4424,1,1,0,3731
394,06:34,JDG,0,24800,5,2,0,2,6148,2,1,0,5209,0,0,0,4832,0,0,1,4889,1,0,2,4161
395,06:35,STM,0,21300,1,0,2,0,4337,0,1,1,3992,0,0,0,4939,0,1,1,4428,1,1,0,3737
395,06:35,JDG,0,25200,5,2,0,2,6151,2,1,0,5212,0,0,0,4836,0,0,1,4892,1,0,2,4166
396,06:36,STM,0,21400,1,0,2,0,4406,0,1,1,3996,0,0,0,4943,0,1,1,4431,1,1,0,3742
396,06:36,JDG,0,25300,5,2,0,2,6220,2,1,0,5216,0,0,0,4839,0,0,1,4896,1,0,2,4204
397,06:37,STM,0,21500,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
397,06:37,JDG,0,25300,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
398,06:38,STM,False,21600,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
398,06:38,JDG,False,25400,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
399,06:39,STM,False,21600,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
399,06:39,JDG,False,25400,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
400,06:40,STM,False,21700,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
400,06:40,JDG,False,25400,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
401,06:41,STM,False,21900,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
401,06:41,JDG,False,25500,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
402,06:42,STM,False,22200,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
402,06:42,JDG,False,25500,5,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
403,06:43,STM,False,22200,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
403,06:43,JDG,False,26100,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
404,06:44,STM,False,22200,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
404,06:44,JDG,False,26100,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
405,06:45,STM,False,22900,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
405,06:45,JDG,False,26200,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
406,06:46,STM,False,23000,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
406,06:46,JDG,False,26200,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
407,06:47,STM,False,23000,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
407,06:47,JDG,False,False,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
408,06:48,STM,False,23100,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
408,06:48,JDG,False,False,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
409,06:49,STM,False,23100,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
409,06:49,JDG,False,False,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
410,06:50,STM,False,23100,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
410,06:50,JDG,False,26400,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
411,06:51,STM,False,23100,1,0,2,0,4474,0,1,1,3999,0,0,0,4946,0,1,1,4435,1,1,0,3748
411,06:51,JDG,False,26400,False,2,0,2,6223,2,1,0,5219,0,0,0,4843,0,0,1,4899,1,0,2,4210
