,time,team,towers,team_gold,team_kills,top_kill,top_death,top_assist,top_gold,jungle_kill,jungle_death,jungle_assist,jungle_gold,mid_kill,mid_death,mid_assist,mid_gold,bot_kill,bot_death,bot_assist,bot_gold,supp_kill,supp_death,supp_assist,supp_gold
36,36,TF,0,3300,0,0,0,0,628,0,0,0,563,0,0,0,773,0,0,0,693,0,0,0,628
36,36,T1,0,3300,0,0,0,0,628,0,0,0,682,0,0,0,733,0,0,0,693,0,0,0,628
37,37,TF,0,3300,0,0,0,0,631,0,0,0,566,0,0,0,776,0,0,0,696,0,0,0,631
37,37,T1,0,3400,0,0,0,0,631,0,0,0,686,0,0,0,736,0,0,0,696,0,0,0,631
38,38,TF,0,3300,0,0,0,0,635,0,0,0,570,0,0,0,780,0,0,0,700,0,0,0,635
38,38,T1,0,3400,0,0,0,0,635,0,0,0,689,0,0,0,780,0,0,0,740,0,0,0,655
39,39,TF,0,3300,0,0,0,0,635,0,0,0,370,0,0,0,780,0,0,0,700,0,0,0,635
39,39,T1,0,3500,0,0,0,0,635,0,0,0,713,0,0,0,780,0,0,0,780,0,0,0,675
41,41,TF,0,3400,0,0,0,0,645,0,0,0,736,0,0,0,790,0,0,0,710,0,0,0,645
41,41,T1,0,3600,0,0,0,0,710,0,0,0,760,0,0,0,790,0,0,0,790,0,0,0,685
42,42,TF,0,3500,0,0,0,0,645,0,0,0,736,0,0,0,790,0,0,0,710,0,0,0,645
42,42,T1,0,3700,0,0,0,0,710,0,0,0,784,0,0,0,790,0,0,0,790,0,0,0,685
43,43,TF,0,3500,0,0,0,0,649,0,0,0,739,0,0,0,794,0,0,0,754,0,0,0,669
43,43,T1,0,3700,0,0,0,0,729,0,0,0,799,0,0,0,794,0,0,0,794,0,0,0,689
44,44,TF,0,3600,0,0,0,0,656,0,0,0,746,0,0,0,801,0,0,0,768,0,0,0,683
44,44,T1,0,3800,0,0,0,0,736,0,0,0,806,0,0,0,801,0,0,0,801,0,0,0,696
45,45,TF,0,3700,0,0,0,0,659,0,0,0,730,0,0,0,804,0,0,0,772,0,0,0,687
45,45,T1,0,3800,0,0,0,0,740,0,0,0,810,0,0,0,804,0,0,0,804,0,0,0,699
46,46,TF,0,3700,0,0,0,0,704,0,0,0,730,0,0,0,869,0,0,0,772,0,0,0,687
46,46,T1,0,3800,0,0,0,0,740,0,0,0,810,0,0,0,804,0,0,0,804,0,0,0,699
47,47,TF,0,3800,0,0,0,0,711,0,0,0,757,0,0,0,876,0,0,0,779,0,0,0,694
47,47,T1,0,3900,0,0,0,0,747,0,0,0,817,0,0,0,811,0,0,0,811,0,0,0,706
48,48,TF,0,3800,0,0,0,0,715,0,0,0,760,0,0,0,880,0,0,0,782,0,0,0,697
48,48,T1,0,3900,0,0,0,0,750,0,0,0,820,0,0,0,815,0,0,0,815,0,0,0,710
49,49,TF,0,3800,0,0,0,0,715,0,0,0,760,0,0,0,880,0,0,0,782,0,0,0,697
49,49,T1,0,3900,0,0,0,0,790,0,0,0,820,0,0,0,880,0,0,0,815,0,0,0,710
50,50,TF,0,3800,0,0,0,0,744,0,0,0,764,0,0,0,948,0,0,0,786,0,0,0,701
50,50,T1,0,3900,0,0,0,0,794,0,0,0,824,0,0,0,883,0,0,0,818,0,0,0,713
51,51,TF,0,4000,0,0,0,0,71,0,0,0,7,0,0,0,955,0,0,0,793,0,0,0,708
51,51,T1,0,4000,0,0,0,0,801,0,0,0,831,0,0,0,890,0,0,0,825,0,0,0,720
52,52,TF,0,4000,0,0,0,0,754,0,0,0,774,0,0,0,959,0,0,0,796,0,0,0,711
52,52,T1,0,4100,0,0,0,0,804,0,0,0,834,0,0,0,959,0,0,0,829,0,0,0,724
53,53,TF,0,4000,0,0,0,0,754,0,0,0,798,0,0,0,999,0,0,0,796,0,0,0,711
53,53,T1,0,4100,0,0,0,0,804,0,0,0,834,0,0,0,959,0,0,0,829,0,0,0,724
54,54,TF,0,4100,0,0,0,0,761,0,0,0,877,0,0,0,1046,0,0,0,868,0,0,0,7351
54,54,T1,0,4200,0,0,0,0,876,0,0,0,841,0,0,0,966,0,0,0,901,0,0,0,763
55,55,TF,0,4300,0,0,0,0,765,0,0,0,893,0,0,0,1049,0,0,0,872,0,0,0,74
